7,"Saturday, 8 May (7:10 pm) ",Brisbane Lions 15.10 (100) ,def. by ,Fremantle 15.23 (113) ,"Gabba (crowd: 27,739) ",Report
7,"Saturday, 8 May (7:10 pm) ",Collingwood 23.19 (157) ,def. ,North Melbourne 14.7 (91) ,"MCG (crowd: 52,696) ",Report
7,"Sunday, 9 May (1:10 pm) ",Geelong 19.12 (126) ,def. ,Sydney 9.5 (59) ,"Skilled Stadium (crowd: 25,970) ",Report
7,"Sunday, 9 May (4:10 pm) ",Adelaide 15.14 (104) ,def. ,Richmond 7.12 (54) ,"AAMI Stadium (crowd: 31,196) ",Report
7,"Monday, 10 May (7:20 pm) ",St Kilda 9.14 (68) ,def. by ,Carlton 20.9 (129) ,"Etihad Stadium (crowd: 42,866 ) ",Report
,,,,,,
8,"Friday, 14 May (6:40 pm) ",Fremantle 15.7 (97) ,def. by ,Collingwood 20.13 (133) ,"Subiaco Oval (crowd: 41,624) ",Report
8,"Saturday, 15 May (2:10 pm) ",Western Bulldogs 14.17 (101) ,def. ,Sydney 9.9 (63) ,"Manuka Oval (crowd: 14,308) ",Report
8,"Saturday, 15 May (2:10 pm) ",Melbourne 6.10 (46) ,def. by ,West Coast 10.15 (75) ,"MCG (crowd: 28,592) ",Report
8,"Saturday, 15 May (7:10 pm) ",North Melbourne 12.12 (84) ,def. ,Adelaide 11.9 (75) ,"Etihad Stadium (crowd: 16,455) ",Report
8,"Saturday, 15 May (7:10 pm) ",Brisbane Lions 10.14 (74) ,def. by ,Geelong 24.11 (155) ,"Gabba (crowd: 33,629) ",Report
8,"Sunday, 16 May (1:10 pm) ",Richmond 13.8 (86) ,def. by ,Hawthorn 13.11 (89) ,"MCG (crowd: 41,563) ",Report
8,"Sunday, 16 May (2:40 pm) ",Port Adelaide 14.8 (92) ,def. by ,Carlton 17.16 (118) ,"AAMI Stadium (crowd: 30,228) ",Report
8,"Sunday, 16 May (4:40 pm) ",St Kilda 11.15 (81) ,def. by ,Essendon 14.9 (93) ,"Etihad Stadium (crowd: 39,204) ",Report
,,,,,,
9,"Friday, 21 May (7:40 pm) ",Collingwood 6.14 (50) ,def. by ,Geelong 12.14 (86) ,"MCG (crowd: 88,115) ",Report
9,"Saturday, 22 May (2:10 pm) ",North Melbourne 7.15 (57) ,def. by ,Western Bulldogs 20.7 (127) ,"Etihad Stadium (crowd: 30,794) ",Report
9,"Saturday, 22 May (2:10 pm) ",Sydney 9.9 (63) ,def. by ,Fremantle 14.16 (100) ,"SCG (crowd: 24,819) ",Report
9,"Saturday, 22 May (7:10 pm) ",Melbourne 17.9 (111) ,def. ,Port Adelaide 16.14 (110) ,"TIO Stadium (crowd: 8,848) ",Report
9,"Saturday, 22 May (7:30 pm) ",Essendon 19.16 (130) ,def. ,Richmond 14.11 (95) ,"MCG (crowd: 64,709) ",Report
9,"Sunday, 23 May (12:40 pm) ",Adelaide 13.15 (93) ,def. ,Brisbane Lions 11.15 (81) ,"AAMI Stadium (crowd: 31,517) ",Report
9,"Sunday, 23 May (2:10 pm) ",Carlton 8.12 (60) ,def. by ,Hawthorn 16.14 (110) ,"Etihad Stadium (crowd: 47,484) ",Report
9,"Sunday, 23 May (2:40 pm) ",West Coast 8.8 (56) ,def. by ,St Kilda 13.13 (91) ,"Subiaco Oval (crowd: 36,244) ",Report
,,,,,,
10,"Friday, 28 May (7:40 pm) ",Essendon 15.9 (99) ,def. ,Western Bulldogs 14.6 (90) ,"Etihad Stadium (crowd: 45,742) ",Report
10,"Saturday, 29 May (2:10 pm) ",Geelong 18.13 (121) ,def. ,Melbourne 10.7 (67) ,"Skilled Stadium (crowd: 24,525) ",Report
10,"Saturday, 29 May (2:40 pm) ",Port Adelaide 3.12 (30) ,def. by ,Richmond 10.17 (77) ,"AAMI Stadium (crowd: 16,694) ",Report
10,"Saturday, 29 May (7:10 pm) ",Brisbane Lions 13.10 (88) ,def. ,Collingwood 11.14 (80) ,"Gabba (crowd: 34,239) ",Report
10,"Saturday, 29 May (7:10 pm) ",St Kilda 19.9 (123) ,def. ,Adelaide 12.4 (76) ,"Etihad Stadium (crowd: 28,708) ",Report
10,"Sunday, 30 May (1:10 pm) ",Hawthorn 10.19 (79) ,def. ,Sydney 11.11 (77) ,"MCG (crowd: 36,003) ",Report
10,"Sunday, 30 May (2:10 pm) ",Carlton 15.15 (105) ,def. ,West Coast 11.10 (76) ,"Etihad Stadium (crowd: 29,175) ",Report
10,"Sunday, 30 May (2:40 pm) ",Fremantle 21.13 (139) ,def. ,North Melbourne 11.12 (78) ,"Subiaco Oval (crowd: 36,175) ",Report
,,,,,,
11,"Friday, 4 June (7:40 pm) ",Richmond 8.11 (59) ,def. by ,St Kilda 14.13 (97) ,"Etihad Stadium (crowd: 32,858) ",Report
11,"Saturday, 5 June (2:10 pm) ",Carlton 15.11 (101) ,def. ,Melbourne 9.6 (60) ,"MCG (crowd: 49,745) ",Report
11,"Saturday, 5 June (2:40 pm) ",Adelaide 16.9 (105) ,def. ,Fremantle 12.10 (82) ,"AAMI Stadium (crowd: 35,605) ",Report
11,"Saturday, 5 June (7:10 pm) ",North Melbourne 12.18 (90) ,def. ,Brisbane Lions 13.11 (89) ,"Etihad Stadium (crowd: 19,100) ",Report
11,"Saturday, 5 June (5:40 pm) ",West Coast 14.14 (98) ,def. by ,Geelong 18.14 (122) ,"Subiaco Oval (crowd: 33,784) ",Report
11,"Sunday, 6 June (1:10 pm) ",Sydney 12.17 (89) ,def. ,Essendon 12.8 (80) ,"SCG (crowd: 29,329) ",Report
11,"Sunday, 6 June (2:10 pm) ",Hawthorn 10.14 (74) ,def. ,Port Adelaide 8.15 (63) ,"MCG (crowd: 21,287) ",Report
11,"Sunday, 6 June (4:40 pm) ",Collingwood 17.11 (113) ,def. ,Western Bulldogs 16.7 (103) ,"Etihad Stadium (crowd: 40,813) ",Report
,,,,,,
12,"Friday, 11 June (7:40 pm) ",North Melbourne 14.13 (97) ,def. ,Carlton 10.8 (68) ,"Etihad Stadium (crowd: 43,732) ",Report
12,"Saturday, 12 June (2:10 pm) ",Hawthorn 19.10 (124) ,def. ,Adelaide 11.11 (77) ,"Aurora Stadium (crowd: 16,167) ",Report
12,"Saturday, 12 June (7:10 pm) ",Port Adelaide 8.7 (55) ,def. by ,Sydney 14.9 (93) ,"AAMI Stadium (crowd: 20,106) ",Report
12,"Saturday, 12 June (7:10 pm) ",Essendon 12.11 (83) ,def. by ,Geelong 23.16 (154) ,"Etihad Stadium (crowd: 46,358) ",Report
12,"Sunday, 13 June (1:10 pm) ",Richmond 19.12 (126) ,def. ,West Coast 11.11 (77) ,"MCG (crowd: 30,870) ",Report
12,"Sunday, 13 June (2:10 pm) ",Western Bulldogs 17.19 (121) ,def. ,Brisbane Lions 8.8 (56) ,"Etihad Stadium (crowd: 30,831) ",Report
12,"Sunday, 13 June (2:40 pm) ",Fremantle 10.7 (67) ,def. by ,St Kilda 12.13 (85) ,"Subiaco Oval (crowd: 37,569) ",Report
12,"Monday, 14 June (2:10 pm) ",Melbourne 11.10 (76) ,drew with ,Collingwood 9.22 (76) ,"MCG (crowd: 67,454) ",Report
,,,,,,
13,"Friday, 18 June (7:40 pm) ",Hawthorn 14.18 (102) ,def. ,Essendon 13.8 (86) ,"MCG (crowd: 54,148) ",Report
13,"Saturday, 19 June (7:10 pm) ",Carlton 12.15 (87) ,def. by ,Fremantle 14.12 (96) ,"Etihad Stadium (crowd: 28,869) ",Report
13,"Saturday, 19 June (7:10 pm) ",Brisbane Lions 12.14 (86) ,def. by ,Richmond 15.15 (105) ,"Gabba (crowd: 28,415) ",Report
13,"Sunday, 20 June (1:10 pm) ",North Melbourne 19.15 (129) ,def. ,Port Adelaide 14.9 (93) ,"Etihad Stadium (crowd: 15,109) ",Report
13,"Sunday, 20 June (2:40 pm) ",West Coast 9.5 (59) ,def. by ,Western Bulldogs 17.17 (119) ,"Subiaco Oval (crowd: 34,280) ",Report
13,"Friday, 25 June (7:40 pm) ",St Kilda 10.10 (70) ,def. ,Geelong 6.10 (46) ,"MCG (crowd: 58,208) ",Report
13,"Saturday, 26 June (7:10 pm) ",Sydney 10.11 (71) ,def. by ,Collingwood 13.18 (96) ,"ANZ Stadium (crowd: 43,585) ",Report
13,"Sunday, 27 June (2:40 pm) ",Adelaide 16.21 (117) ,def. ,Melbourne 11.7 (73) ,"AAMI Stadium (crowd: 34,442) ",Report
,,,,,,
14,"Thursday, 1 July (7:10 pm) ",Carlton 18.12 (120) ,def. ,Brisbane Lions 9.11 (65) ,"Etihad Stadium (crowd: 35,623) ",Report
14,"Friday, 2 July (7:40 pm) ",Hawthorn 12.7 (79) ,def. ,Western Bulldogs 11.10 (76) ,"MCG (crowd: 47,454) ",Report
14,"Saturday, 3 July (1:10 pm) ",Fremantle 17.13 (115) ,def. ,Port Adelaide 8.10 (58) ,"Subiaco Oval (crowd: 32,442) ",Report
14,"Saturday, 3 July (7:10 pm) ",Collingwood 20.15 (135) ,def. ,West Coast 7.10 (52) ,"Etihad Stadium (crowd: 38,781) ",Report
14,"Saturday, 3 July (7:10 pm) ",Adelaide 19.10 (124) ,def. ,Essendon 5.10 (40) ,"AAMI Stadium (crowd: 37,296) ",Report
14,"Sunday, 4 July (1:10 pm) ",Geelong 14.14 (98) ,def. ,North Melbourne 9.9 (63) ,"Skilled Stadium (crowd: 25,159) ",Report
14,"Sunday, 4 July (2:10 pm) ",Richmond 14.5 (89) ,def. ,Sydney 12.13 (85) ,"MCG (crowd: 39,386) ",Report
14,"Sunday, 4 July (4:40 pm) ",St Kilda 15.10 (100) ,def. ,Melbourne 9.11 (65) ,"Etihad Stadium (crowd: 31,993) ",Report
,,,,,,
