7,"Sunday, 13 May (2:40 pm) ",Fremantle 12.15 (87) ,def. ,Port Adelaide 7.5 (47) ,"Patersons Stadium (crowd: 30,079) "
7,"Monday, 14 May (7:40 pm) ",St Kilda 19.8 (122) ,def. ,Carlton 14.14 (98) ,"Etihad Stadium (crowd: 38,823) "
,,,,,
8,"Friday, 18 May (7:50 pm) ",Collingwood 14.12 (96) ,def. ,Geelong 11.18 (84) ,"MCG (crowd: 75,650) "
8,"Saturday, 19 May (1:15 pm) ",Port Adelaide 14.11 (95) ,def. ,North Melbourne 14.9 (93) ,"AAMI Stadium (crowd: 14,508) "
8,"Saturday, 19 May (2:10 pm) ",Hawthorn 17.17 (119) ,def. ,Fremantle 9.9 (63) ,"Aurora Stadium (crowd: 12,959) "
8,"Saturday, 19 May (4:40 pm) ",Sydney 21.12 (138) ,def. ,Melbourne 5.7 (37) ,"SCG (crowd: 20,818) "
8,"Saturday, 19 May (7:10 pm) ",Western Bulldogs 9.18 (72) ,def. ,Gold Coast 4.10 (34) ,"TIO Stadium (crowd: 8,724) "
8,"Saturday, 19 May (7:50 pm) ",Essendon 19.14 (128) ,def. ,Richmond 15.19 (109) ,"MCG (crowd: 80,900) "
8,"Sunday, 20 May (1:10 pm) ",Brisbane Lions 19.18 (132) ,def. ,Greater Western Sydney 5.10 (40) ,"The Gabba (crowd: 16,049) "
8,"Sunday, 20 May (3:15 pm) ",Carlton 8.7 (55) ,def. by ,Adelaide 19.10 (124) ,"Etihad Stadium (crowd: 35,917) "
8,"Sunday, 20 May (2:40 pm) ",West Coast 18.13 (121) ,def. ,St Kilda 13.13 (91) ,"Patersons Stadium (crowd: 38,174) "
,,,,,
9,"Friday, 25 May (7:50 pm) ",Western Bulldogs 11.9 (75) ,def. by ,Geelong 14.11 (95) ,"Etihad Stadium (crowd: 29,118) "
9,"Saturday, 26 May (1:45 pm) ",Richmond 21.11 (137) ,def. ,Hawthorn 10.15 (75) ,"MCG (crowd: 51,617) "
9,"Saturday, 26 May (2:10 pm) ",Gold Coast 10.10 (70) ,def. by ,Port Adelaide 17.16 (118) ,"Metricon Stadium (crowd: 12,416) "
9,"Saturday, 26 May (4:40 pm) ",St Kilda 16.15 (111) ,def. ,Sydney 12.11 (83) ,"Etihad Stadium (crowd: 34,737) "
9,"Saturday, 26 May (7:10 pm) ",Adelaide 6.11 (49) ,def. by ,Collingwood 10.15 (75) ,"AAMI Stadium (crowd: 44,238) "
9,"Saturday, 26 May (7:40 pm) ",Greater Western Sydney 7.11 (53) ,def. by ,Essendon 18.11 (119) ,"Škoda Stadium (crowd: 11,887) "
9,"Sunday, 27 May (1:10 pm) ",North Melbourne 17.10 (112) ,def. ,Brisbane Lions 15.6 (96) ,"Etihad Stadium (crowd: 19,988) "
9,"Sunday, 27 May (3:15 pm) ",Carlton 15.17 (107) ,def. ,Melbourne 6.13 (49) ,"MCG (crowd: 28,371) "
9,"Sunday, 27 May (2:40 pm) ",West Coast 11.18 (84) ,def. ,Fremantle 5.6 (36) ,"Patersons Stadium (crowd: 40,905) "
,,,,,
